score,vrai_positif,faux_positif,precision
1,1354,158,"0,895502645502646"
2,549,95,"0,85248447204969"
3,97,0,1
4,350,166,"0,678294573643411"
5,465,2,"0,995717344753747"
6,80,0,1
7,10,0,1
9,5,0,1
10,37,19,"0,660714285714286"
11,58,0,1
12,75,0,1
13,6,0,1
40,17,4,"0,80952380952381"
41,7,0,1
42,7,0,1
43,2,0,1
74,16,31,"0,340425531914894"
75,11,0,1
76,3,0,1
78,5,1,"0,833333333333333"
79,2,0,1
80,2,0,1
82,1,0,1
110,2,0,1
111,0,1,0
total,3161,477,"0,86888400219901"
