score,vrai_positif,faux_positif,précision
1,402,19,"0,954869358669834"
2,36,218,"0,141732283464567"
3,2,0,1
4,2,78,"0,025"
5,63,0,1
6,0,14,0
40,0,1,0
10,1,17,"0,0555555555555556"
75,3,0,1
11,26,0,1
12,0,2,0
78,1,0,1
74,0,8,0
85,1,0,1
total,537,357,"0,600671140939597"
