score,vrai_positif,faux_positif,précision
lexique,2514,180,"0,933184855233853"
nent,868,329,"0,725146198830409"
valence,905,246,"0,78627280625543"
coor_nom,207,38,"0,844897959183674"
comp_pred,34,7,"0,829268292682927"
antecedent,53,42,"0,557894736842105"
total,4581,842,"0,844735386317536"
