score,vrai_positif,faux_positif,précision
lexique,1216,112,"0,91566265060241"
nent,617,78,"0,887769784172662"
valence,604,187,"0,763590391908976"
coor_nom,154,31,"0,832432432432433"
comp_pred,86,6,"0,934782608695652"
antecedent,29,28,"0,508771929824561"
total,2706,442,"0,859593392630241"
