score,vrai_positif,faux_positif,precision
1,910,105,"0,896551724137931"
2,428,71,"0,857715430861723"
3,6,0,1
4,354,155,"0,695481335952849"
5,224,5,"0,978165938864629"
6,71,1,"0,986111111111111"
7,4,0,1
8,2,0,1
9,1,0,1
10,39,25,"0,609375"
11,46,2,"0,958333333333333"
12,68,4,"0,944444444444444"
13,1,0,1
40,35,5,"0,875"
41,15,0,1
42,31,1,"0,96875"
44,1,0,1
46,1,0,1
74,10,27,"0,27027027027027"
75,10,0,1
76,6,1,"0,857142857142857"
110,1,0,1
114,1,0,1
122,1,0,1
total,2266,402,"0,849325337331334"
