"node"	"propform"	"tildevalue"	"%"	"actantslist"
"ls:fr:node:26239"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"ls:fr:node:26241"	"$1 ~ $2 dans $3"	" aide "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26242"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26243"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26244"	"~ cultivé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26245"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26246"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26247"	"$1 est ~ avec $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26248"	"$1 ~ $2"	"aime"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26249"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26251"	"~ qui sert à $1"	""	"100"	"($1=X)"
"ls:fr:node:26252"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26253"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26254"	"$1 ~ $2 à $3"	" ajoute "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26255"	"$1 ~ $2"	"ajuste"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26257"	"~ constitué de $2 utilisé par $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26258"	"~"	""	"100"	"()"
"ls:fr:node:26259"	"$1, qui est un ~"	""	"100"	"($1=X)"
"ls:fr:node:26262"	"~"	""	"100"	"()"
"ls:fr:node:26263"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26268"	"$1 ~ à $2 (pour $3)"	" va "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26272"	"$1  ~ $2 avec $3"	" allume "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26273"	"~ utilisée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26279"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26280"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26281"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26283"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26284"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26285"	"~ (de $1)"	""	"100"	"($1=X)"
"ls:fr:node:26286"	"$1 ~ $2 avec $3"	"améliore"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26287"	"$1 ~ $2 à $3"	"amène"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26288"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26289"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26290"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26291"	"$1, un ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26292"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26293"	"$1 est ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26294"	"~ qui sert à $1"	""	"100"	"($1=X)"
"ls:fr:node:26295"	"$1 ~ $2"	"amuse"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26296"	"~"	""	"100"	"()"
"ls:fr:node:26297"	"! ~ faite par $1 entre $2 et $3 sur la base de $4"	""	"100"	"($1=X,$2=Y,$3=Z,$4=U)"
"ls:fr:node:26298"	"$1 ~ $2"	"analyse"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26299"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26300"	"! ~  dans le lieu $1"	""	"100"	"($1=X)"
"ls:fr:node:26301"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26302"	"~"	""	"100"	"()"
"ls:fr:node:26303"	"~"	""	"100"	"()"
"ls:fr:node:26304"	"$1, qui est un ~"	" Anglais "	"100"	"($1=X)"
"ls:fr:node:26306"	"~ de $1 causée par $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26307"	"~"	""	"100"	"()"
"ls:fr:node:26308"	"$1 ~ $2"	"anime"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26309"	"~"	""	"100"	"()"
"ls:fr:node:26312"	"$1 ~ $2"	"annule"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26313"	"~ de $1 par rapport à $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26314"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26315"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26316"	"! ~ de $1 qui sert à $2 pour capter $3"	""	"60"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26317"	"~ de $1 causée par $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26319"	"$1 ~ $2"	"apaise"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26320"	"$1 ~ $2"	"aperçoit"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26321"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"ls:fr:node:26324"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26326"	"$1 ~"	""	"100"	"($1=X)"
"ls:fr:node:26327"	"~ constitué des $2 utilisé par $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26328"	"$1 ~ à $2"	"appartient"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26331"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26332"	"$1 ~ $2 pour $3"	"applaudit"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26334"	"$1 ~ $2 à $3"	"apporte"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26336"	"$1 ~ $2 (auprès de $3)"	"apprend"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26337"	"$1 ~ de $2"	"approche "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26338"	"$1 ~ $2"	" approuve "	"100"	"($1=X,$2=Y)"
