"node"	"example"	"occurrence"	"position"	"%"
"ls:fr:node:29819"	"ls:fr:ex:2263"	"44,55;"	"6"	"100"
"ls:fr:node:29819"	"ls:fr:ex:13654"	"132,143;"	"7"	"100"
"ls:fr:node:29819"	"ls:fr:ex:13663"	"154,165;"	"8"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1677"	"47,51;"	"0"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1681"	"154,159;"	"1"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1682"	"24,29;"	"2"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1690"	"108,112;"	"3"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1691"	"34,39;"	"4"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1693"	"33,37;"	"5"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1685"	"16,21;"	"6"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1686"	"16,20;"	"7"	"100"
"ls:fr:node:29820"	"ls:fr:ex:1688"	"96,100;"	"8"	"100"
"ls:fr:node:29821"	"ls:fr:ex:24297"	"36,43;"	"0"	"100"
"ls:fr:node:29821"	"ls:fr:ex:18759"	"69,74;"	"1"	"100"
"ls:fr:node:29822"	"ls:fr:ex:2486"	"161,169;"	"0"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3279"	"49,57;"	"1"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3281"	"77,85;"	"2"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3283"	"191,198;"	"3"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3284"	"141,149;"	"4"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3286"	"153,161;"	"5"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3287"	"207,215;"	"6"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3289"	"376,384;"	"7"	"100"
"ls:fr:node:29822"	"ls:fr:ex:3291"	"346,354;"	"8"	"100"
"ls:fr:node:29823"	"ls:fr:ex:1234"	"22,30;64,72;"	"0"	"100"
"ls:fr:node:29824"	"ls:fr:ex:21583"	"96,101;"	"0"	"100"
"ls:fr:node:29825"	"ls:fr:ex:18565"	"64,68;"	"0"	"100"
"ls:fr:node:29826"	"ls:fr:ex:24174"	"19,24;"	"0"	"100"
"ls:fr:node:29827"	"ls:fr:ex:18491"	"122,128;"	"0"	"100"
"ls:fr:node:29828"	"ls:fr:ex:10485"	"103,106;"	"0"	"100"
"ls:fr:node:29829"	"ls:fr:ex:1607"	"43,52;"	"0"	"100"
"ls:fr:node:29830"	"ls:fr:ex:1512"	"62,75;"	"0"	"100"
"ls:fr:node:29831"	"ls:fr:ex:1606"	"154,159;"	"0"	"100"
"ls:fr:node:29832"	"ls:fr:ex:22220"	"145,149;"	"0"	"100"
"ls:fr:node:29833"	"ls:fr:ex:18152"	"200,207;"	"0"	"100"
"ls:fr:node:29834"	"ls:fr:ex:18120"	"147,154;"	"0"	"100"
"ls:fr:node:29835"	"ls:fr:ex:732"	"57,62;"	"0"	"100"
"ls:fr:node:29835"	"ls:fr:ex:29926"	"107,112;188,194;257,262;"	"1"	"100"
"ls:fr:node:29836"	"ls:fr:ex:371"	"36,39;"	"0"	"100"
"ls:fr:node:29836"	"ls:fr:ex:5869"	"98,101;"	"1"	"100"
"ls:fr:node:29836"	"ls:fr:ex:5642"	"119,122;"	"2"	"100"
"ls:fr:node:29836"	"ls:fr:ex:2406"	"51,54;"	"3"	"100"
"ls:fr:node:29836"	"ls:fr:ex:2410"	"193,196;"	"4"	"100"
"ls:fr:node:29836"	"ls:fr:ex:2791"	"219,222;"	"5"	"100"
"ls:fr:node:29836"	"ls:fr:ex:4818"	"98,101;"	"6"	"100"
"ls:fr:node:29836"	"ls:fr:ex:2419"	"82,85;"	"7"	"100"
"ls:fr:node:29836"	"ls:fr:ex:5516"	"152,155;"	"8"	"100"
"ls:fr:node:29837"	"ls:fr:ex:10519"	"80,88;"	"0"	"100"
"ls:fr:node:29838"	"ls:fr:ex:8877"	"39,50;"	"0"	"100"
"ls:fr:node:29839"	"ls:fr:ex:12723"	"47,52;"	"0"	"100"
"ls:fr:node:29839"	"ls:fr:ex:12727"	"250,255;"	"1"	"100"
"ls:fr:node:29839"	"ls:fr:ex:17336"	"63,68;"	"2"	"100"
"ls:fr:node:29839"	"ls:fr:ex:12729"	"193,198;"	"3"	"100"
"ls:fr:node:29839"	"ls:fr:ex:12766"	"117,122;"	"4"	"100"
"ls:fr:node:29839"	"ls:fr:ex:12731"	"168,173;"	"5"	"100"
"ls:fr:node:29839"	"ls:fr:ex:17302"	"69,74;"	"6"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12677"	"55,64;"	"0"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12678"	"124,133;"	"1"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12679"	"100,109;"	"2"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12683"	"39,48;"	"3"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12684"	"35,44;"	"4"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12685"	"50,59;"	"5"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12680"	"53,62;"	"6"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12681"	"160,169;"	"7"	"100"
"ls:fr:node:29840"	"ls:fr:ex:12682"	"64,73;"	"8"	"100"
"ls:fr:node:29841"	"ls:fr:ex:17921"	"57,64;"	"0"	"100"
"ls:fr:node:29842"	"ls:fr:ex:5368"	"205,214;"	"0"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11269"	"31,37;"	"0"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11398"	"68,74;100,107;"	"1"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11396"	"122,128;"	"2"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11402"	"27,33;267,273;821,827;"	"3"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11353"	"78,84;"	"4"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11405"	"310,317;"	"5"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11406"	"38,45;"	"6"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11408"	"172,178;502,508;"	"7"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11411"	"33,39;"	"8"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11412"	"265,271;"	"9"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11414"	"67,73;"	"10"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11416"	"135,142;"	"11"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11417"	"145,151;"	"12"	"100"
"ls:fr:node:29843"	"ls:fr:ex:11418"	"155,161;"	"13"	"100"
"ls:fr:node:29844"	"ls:fr:ex:17919"	"52,58;"	"0"	"100"
"ls:fr:node:29845"	"ls:fr:ex:17916"	"59,66;"	"0"	"100"
"ls:fr:node:29845"	"ls:fr:ex:23460"	"148,155;"	"1"	"100"
"ls:fr:node:29845"	"ls:fr:ex:23461"	"64,71;"	"2"	"100"
"ls:fr:node:29845"	"ls:fr:ex:23463"	"19,26;"	"3"	"100"
"ls:fr:node:29845"	"ls:fr:ex:32656"	"71,78;"	"4"	"100"
"ls:fr:node:29846"	"ls:fr:ex:17915"	"150,155;"	"0"	"100"
"ls:fr:node:29847"	"ls:fr:ex:17914"	"123,126;"	"0"	"100"
"ls:fr:node:29848"	"ls:fr:ex:148"	"316,323;"	"0"	"100"
"ls:fr:node:29848"	"ls:fr:ex:1449"	"139,145;"	"1"	"100"
"ls:fr:node:29848"	"ls:fr:ex:1539"	"262,268;"	"2"	"100"
"ls:fr:node:29848"	"ls:fr:ex:2004"	"79,85;"	"3"	"100"
"ls:fr:node:29848"	"ls:fr:ex:2005"	"37,43;"	"4"	"100"
"ls:fr:node:29848"	"ls:fr:ex:2006"	"183,189;228,234;255,261;"	"5"	"100"
"ls:fr:node:29848"	"ls:fr:ex:480"	"81,87;"	"6"	"100"
"ls:fr:node:29848"	"ls:fr:ex:1700"	"119,125;"	"7"	"100"
"ls:fr:node:29848"	"ls:fr:ex:999"	"240,246;"	"8"	"100"
"ls:fr:node:29848"	"ls:fr:ex:1192"	"107,113;"	"9"	"100"
"ls:fr:node:29848"	"ls:fr:ex:1973"	"74,80;"	"10"	"100"
"ls:fr:node:29849"	"ls:fr:ex:17900"	"26,30;"	"0"	"100"
"ls:fr:node:29850"	"ls:fr:ex:6520"	"102,109;"	"0"	"100"
"ls:fr:node:29851"	"ls:fr:ex:4434"	"190,199;"	"0"	"100"
"ls:fr:node:29851"	"ls:fr:ex:8724"	"97,105;"	"1"	"100"
"ls:fr:node:29851"	"ls:fr:ex:9287"	"180,188;"	"2"	"100"
"ls:fr:node:29852"	"ls:fr:ex:5742"	"77,81;"	"0"	"100"
"ls:fr:node:29853"	"ls:fr:ex:8926"	"41,48;"	"0"	"100"
"ls:fr:node:29853"	"ls:fr:ex:341"	"117,124;"	"1"	"100"
"ls:fr:node:29854"	"ls:fr:ex:669"	"323,328;"	"0"	"100"
"ls:fr:node:29855"	"ls:fr:ex:4487"	"65,72;101,108;"	"0"	"100"
"ls:fr:node:29856"	"ls:fr:ex:17481"	"146,154;"	"0"	"100"
"ls:fr:node:29857"	"ls:fr:ex:15524"	"146,151;"	"0"	"100"
"ls:fr:node:29858"	"ls:fr:ex:5483"	"139,150;"	"0"	"100"
"ls:fr:node:29859"	"ls:fr:ex:23557"	"291,294;"	"0"	"100"
"ls:fr:node:29859"	"ls:fr:ex:945"	"81,84;"	"1"	"100"
"ls:fr:node:29860"	"ls:fr:ex:874"	"16,21;"	"0"	"100"
"ls:fr:node:29861"	"ls:fr:ex:992"	"147,152;"	"0"	"100"
"ls:fr:node:29861"	"ls:fr:ex:34381"	"210,215;"	"1"	"100"
"ls:fr:node:29861"	"ls:fr:ex:34383"	"147,151;"	"3"	"100"
"ls:fr:node:29862"	"ls:fr:ex:2039"	"16,21;"	"0"	"100"
"ls:fr:node:29863"	"ls:fr:ex:8537"	"58,63;"	"0"	"100"
"ls:fr:node:29863"	"ls:fr:ex:32441"	"418,423;"	"1"	"100"
"ls:fr:node:29864"	"ls:fr:ex:403"	"91,95;"	"0"	"100"
"ls:fr:node:29864"	"ls:fr:ex:259"	"338,344;"	"1"	"100"
"ls:fr:node:29865"	"ls:fr:ex:304"	"260,267;"	"0"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2721"	"77,84;"	"0"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2719"	"42,49;"	"1"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2725"	"125,132;"	"2"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2723"	"83,90;"	"3"	"100"
"ls:fr:node:29866"	"ls:fr:ex:1035"	"241,248;"	"4"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2726"	"86,93;"	"5"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2729"	"79,86;"	"6"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2731"	"80,87;"	"7"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2734"	"152,160;"	"8"	"100"
"ls:fr:node:29866"	"ls:fr:ex:1043"	"19,26;"	"9"	"100"
"ls:fr:node:29866"	"ls:fr:ex:2737"	"91,99;"	"10"	"100"
"ls:fr:node:29867"	"ls:fr:ex:148"	"117,121;"	"0"	"100"
"ls:fr:node:29867"	"ls:fr:ex:20345"	"54,58;"	"1"	"100"
"ls:fr:node:29868"	"ls:fr:ex:3007"	"70,79;"	"0"	"100"
"ls:fr:node:29869"	"ls:fr:ex:3742"	"87,93;"	"0"	"100"
"ls:fr:node:29870"	"ls:fr:ex:14071"	"110,116;"	"0"	"100"
"ls:fr:node:29870"	"ls:fr:ex:14069"	"32,38;"	"1"	"100"
"ls:fr:node:29870"	"ls:fr:ex:14070"	"19,25;"	"2"	"100"
"ls:fr:node:29870"	"ls:fr:ex:8788"	"281,287;"	"3"	"100"
"ls:fr:node:29870"	"ls:fr:ex:8868"	"19,25;62,68;218,225;239,245;276,282;327,333;"	"4"	"100"
"ls:fr:node:29870"	"ls:fr:ex:14448"	"123,130;"	"5"	"100"
"ls:fr:node:29870"	"ls:fr:ex:8782"	"177,183;"	"6"	"100"
"ls:fr:node:29870"	"ls:fr:ex:14447"	"134,141;"	"7"	"100"
"ls:fr:node:29870"	"ls:fr:ex:5119"	"185,192;"	"8"	"100"
"ls:fr:node:29870"	"ls:fr:ex:14136"	"72,78;"	"9"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4167"	"51,59;"	"0"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4168"	"66,74;"	"1"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4169"	"28,36;"	"2"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4171"	"36,40;"	"3"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4172"	"40,48;"	"4"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4173"	"30,36;"	"5"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4175"	"24,28;"	"6"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4177"	"44,52;"	"7"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4178"	"171,176;"	"8"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4187"	"245,251;"	"9"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4192"	"186,192;"	"10"	"100"
"ls:fr:node:29871"	"ls:fr:ex:4193"	"172,178;"	"11"	"100"
"ls:fr:node:29872"	"ls:fr:ex:9051"	"39,45;"	"0"	"100"
"ls:fr:node:29872"	"ls:fr:ex:9975"	"100,106;"	"1"	"100"
"ls:fr:node:29873"	"ls:fr:ex:266"	"173,184;"	"0"	"100"
"ls:fr:node:29873"	"ls:fr:ex:278"	"88,99;"	"1"	"100"
"ls:fr:node:29873"	"ls:fr:ex:267"	"107,118;"	"2"	"100"
"ls:fr:node:29873"	"ls:fr:ex:271"	"91,101;"	"3"	"100"
"ls:fr:node:29873"	"ls:fr:ex:272"	"92,103;"	"4"	"100"
"ls:fr:node:29873"	"ls:fr:ex:273"	"306,317;"	"5"	"100"
"ls:fr:node:29873"	"ls:fr:ex:268"	"125,136;"	"6"	"100"
"ls:fr:node:29873"	"ls:fr:ex:269"	"70,81;"	"7"	"100"
"ls:fr:node:29873"	"ls:fr:ex:270"	"208,219;"	"8"	"100"
"ls:fr:node:29874"	"ls:fr:ex:16954"	"61,71;"	"0"	"100"
"ls:fr:node:29875"	"ls:fr:ex:10143"	"150,157;"	"0"	"100"
"ls:fr:node:29876"	"ls:fr:ex:4573"	"252,258;"	"0"	"100"
"ls:fr:node:29877"	"ls:fr:ex:4056"	"269,274;279,288;"	"0"	"100"
"ls:fr:node:29877"	"ls:fr:ex:4447"	"132,137;"	"1"	"100"
"ls:fr:node:29878"	"ls:fr:ex:15023"	"126,133;"	"0"	"100"
"ls:fr:node:29878"	"ls:fr:ex:32798"	"21,27;"	"1"	"100"
"ls:fr:node:29879"	"ls:fr:ex:916"	"95,100;"	"0"	"100"
"ls:fr:node:29880"	"ls:fr:ex:1978"	"26,30;"	"0"	"100"
"ls:fr:node:29881"	"ls:fr:ex:60"	"64,68;102,106;"	"0"	"100"
"ls:fr:node:29882"	"ls:fr:ex:9319"	"131,133;137,146;"	"0"	"100"
"ls:fr:node:29883"	"ls:fr:ex:4448"	"19,25;"	"0"	"100"
"ls:fr:node:29883"	"ls:fr:ex:6447"	"192,198;"	"1"	"100"
"ls:fr:node:29883"	"ls:fr:ex:11175"	"19,25;"	"2"	"100"
"ls:fr:node:29884"	"ls:fr:ex:2917"	"39,44;"	"0"	"100"
"ls:fr:node:29884"	"ls:fr:ex:2854"	"143,148;"	"1"	"100"
"ls:fr:node:29884"	"ls:fr:ex:3404"	"150,156;"	"2"	"100"
"ls:fr:node:29884"	"ls:fr:ex:3406"	"297,303;"	"3"	"100"
"ls:fr:node:29884"	"ls:fr:ex:3411"	"327,333;"	"4"	"100"
"ls:fr:node:29884"	"ls:fr:ex:3414"	"309,314;"	"5"	"100"
"ls:fr:node:29884"	"ls:fr:ex:3418"	"90,96;"	"6"	"100"
"ls:fr:node:29884"	"ls:fr:ex:3421"	"182,188;"	"7"	"100"
"ls:fr:node:29884"	"ls:fr:ex:22499"	"358,363;"	"8"	"100"
"ls:fr:node:29885"	"ls:fr:ex:13362"	"95,99;"	"0"	"100"
"ls:fr:node:29886"	"ls:fr:ex:16887"	"106,119;"	"0"	"100"
"ls:fr:node:29887"	"ls:fr:ex:9707"	"82,85;"	"0"	"100"
"ls:fr:node:29887"	"ls:fr:ex:16862"	"73,76;"	"1"	"100"
"ls:fr:node:29888"	"ls:fr:ex:2006"	"86,94;"	"0"	"100"
"ls:fr:node:29889"	"ls:fr:ex:22136"	"80,85;"	"0"	"100"
"ls:fr:node:29889"	"ls:fr:ex:7771"	"119,121;"	"1"	"100"
"ls:fr:node:29889"	"ls:fr:ex:22133"	"166,171;"	"2"	"100"
"ls:fr:node:29889"	"ls:fr:ex:5257"	"315,320;"	"3"	"100"
"ls:fr:node:29889"	"ls:fr:ex:22131"	"116,121;"	"4"	"100"
"ls:fr:node:29889"	"ls:fr:ex:22129"	"36,38;"	"5"	"100"
"ls:fr:node:29889"	"ls:fr:ex:22135"	"204,209;"	"6"	"100"
"ls:fr:node:29889"	"ls:fr:ex:22130"	"343,345;"	"7"	"100"
"ls:fr:node:29889"	"ls:fr:ex:7769"	"87,89;"	"8"	"100"
"ls:fr:node:29889"	"ls:fr:ex:7764"	"381,386;"	"9"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3860"	"108,113;"	"0"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3862"	"68,73;"	"1"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3863"	"82,87;"	"2"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3864"	"221,227;"	"3"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3865"	"109,114;"	"4"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3866"	"128,133;"	"5"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3867"	"142,147;"	"6"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3868"	"67,73;"	"7"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3869"	"90,95;"	"8"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3870"	"79,85;"	"9"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3871"	"179,185;"	"10"	"100"
"ls:fr:node:29890"	"ls:fr:ex:3872"	"22,28;"	"11"	"100"
"ls:fr:node:29891"	"ls:fr:ex:16347"	"36,44;"	"0"	"100"
"ls:fr:node:29891"	"ls:fr:ex:23060"	"155,163;"	"1"	"100"
"ls:fr:node:29891"	"ls:fr:ex:23059"	"92,100;"	"2"	"100"
"ls:fr:node:29891"	"ls:fr:ex:1494"	"127,135;"	"3"	"100"
"ls:fr:node:29892"	"ls:fr:ex:16818"	"42,52;"	"0"	"100"
"ls:fr:node:29893"	"ls:fr:ex:5175"	"21,22;"	"0"	"100"
"ls:fr:node:29893"	"ls:fr:ex:779"	"136,137;"	"1"	"100"
"ls:fr:node:29893"	"ls:fr:ex:1002"	"178,179;"	"2"	"100"
"ls:fr:node:29894"	"ls:fr:ex:11977"	"82,88;"	"0"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12892"	"100,107;"	"1"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12921"	"267,274;"	"2"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12922"	"48,54;"	"3"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12925"	"130,136;"	"4"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12926"	"66,72;"	"5"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12931"	"198,204;"	"6"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12932"	"71,78;"	"7"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12933"	"120,127;"	"8"	"100"
"ls:fr:node:29894"	"ls:fr:ex:12930"	"25,32;"	"9"	"100"
"ls:fr:node:29895"	"ls:fr:ex:16558"	"176,181;"	"0"	"100"
"ls:fr:node:29896"	"ls:fr:ex:23057"	"127,134;"	"0"	"100"
"ls:fr:node:29897"	"ls:fr:ex:4900"	"107,111;"	"0"	"100"
"ls:fr:node:29898"	"ls:fr:ex:10632"	"30,33;"	"0"	"100"
"ls:fr:node:29898"	"ls:fr:ex:13216"	"31,34;"	"1"	"100"
"ls:fr:node:29898"	"ls:fr:ex:16047"	"172,175;"	"2"	"100"
"ls:fr:node:29900"	"ls:fr:ex:3435"	"75,83;"	"0"	"100"
"ls:fr:node:29900"	"ls:fr:ex:3678"	"61,69;"	"1"	"100"
"ls:fr:node:29900"	"ls:fr:ex:20957"	"126,134;"	"2"	"100"
"ls:fr:node:29900"	"ls:fr:ex:3681"	"57,64;"	"3"	"100"
"ls:fr:node:29900"	"ls:fr:ex:3685"	"56,63;"	"4"	"100"
"ls:fr:node:29900"	"ls:fr:ex:3687"	"39,47;"	"5"	"100"
"ls:fr:node:29903"	"ls:fr:ex:14828"	"177,181;"	"0"	"100"
"ls:fr:node:29904"	"ls:fr:ex:23608"	"108,112;"	"0"	"100"
"ls:fr:node:29907"	"ls:fr:ex:12833"	"21,28;"	"0"	"100"
"ls:fr:node:29908"	"ls:fr:ex:1210"	"222,226;"	"0"	"100"
"ls:fr:node:29911"	"ls:fr:ex:1194"	"18,27;"	"0"	"100"
"ls:fr:node:29912"	"ls:fr:ex:12613"	"211,223;"	"0"	"100"
"ls:fr:node:29915"	"ls:fr:ex:12661"	"106,112;"	"0"	"100"
"ls:fr:node:29916"	"ls:fr:ex:994"	"80,85;"	"0"	"100"
"ls:fr:node:29917"	"ls:fr:ex:13022"	"63,67;"	"0"	"100"
"ls:fr:node:29918"	"ls:fr:ex:25504"	"117,124;"	"0"	"100"
"ls:fr:node:29919"	"ls:fr:ex:1034"	"151,157;"	"0"	"100"
"ls:fr:node:29921"	"ls:fr:ex:20769"	"51,56;"	"0"	"100"
"ls:fr:node:29922"	"ls:fr:ex:6631"	"131,135;"	"0"	"100"
"ls:fr:node:29923"	"ls:fr:ex:26298"	"201,206;"	"0"	"100"
"ls:fr:node:29924"	"ls:fr:ex:22966"	"166,170;"	"0"	"100"
"ls:fr:node:29925"	"ls:fr:ex:25552"	"27,35;"	"0"	"100"
"ls:fr:node:29927"	"ls:fr:ex:24897"	"54,59;"	"0"	"100"
"ls:fr:node:29927"	"ls:fr:ex:6903"	"88,93;"	"1"	"100"
"ls:fr:node:29928"	"ls:fr:ex:2899"	"203,211;"	"0"	"100"
"ls:fr:node:29929"	"ls:fr:ex:13378"	"304,309;"	"0"	"100"
"ls:fr:node:29933"	"ls:fr:ex:22145"	"106,111;"	"0"	"100"
"ls:fr:node:29934"	"ls:fr:ex:17"	"104,109;"	"0"	"100"
"ls:fr:node:29935"	"ls:fr:ex:22143"	"89,94;"	"0"	"100"
"ls:fr:node:29936"	"ls:fr:ex:18722"	"141,146;"	"0"	"100"
"ls:fr:node:29936"	"ls:fr:ex:18723"	"171,175;"	"1"	"100"
"ls:fr:node:29936"	"ls:fr:ex:18725"	"50,54;122,126;"	"2"	"100"
"ls:fr:node:29936"	"ls:fr:ex:18724"	"142,147;186,191;"	"3"	"100"
"ls:fr:node:29936"	"ls:fr:ex:18726"	"31,35;"	"4"	"100"
"ls:fr:node:29937"	"ls:fr:ex:11844"	"61,68;"	"0"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13792"	"156,163;"	"1"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13793"	"79,86;"	"2"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13794"	"182,189;"	"3"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13973"	"37,44;"	"4"	"100"
"ls:fr:node:29937"	"ls:fr:ex:19136"	"20,27;"	"5"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13974"	"48,55;"	"6"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13976"	"31,38;"	"7"	"100"
"ls:fr:node:29937"	"ls:fr:ex:13978"	"113,120;"	"8"	"100"
"ls:fr:node:29937"	"ls:fr:ex:14170"	"69,76;"	"9"	"100"
"ls:fr:node:29937"	"ls:fr:ex:14171"	"29,37;"	"10"	"100"
"ls:fr:node:29937"	"ls:fr:ex:14172"	"102,109;"	"11"	"100"
"ls:fr:node:29939"	"ls:fr:ex:30371"	"202,209;"	"0"	"100"
"ls:fr:node:29940"	"ls:fr:ex:7234"	"493,501;"	"0"	"100"
"ls:fr:node:29941"	"ls:fr:ex:1250"	"50,55;"	"0"	"100"
"ls:fr:node:29941"	"ls:fr:ex:1255"	"56,61;"	"1"	"100"
"ls:fr:node:29941"	"ls:fr:ex:1277"	"164,169;"	"2"	"100"
"ls:fr:node:29942"	"ls:fr:ex:21259"	"151,155;"	"0"	"100"
"ls:fr:node:29943"	"ls:fr:ex:22197"	"68,74;"	"0"	"100"
"ls:fr:node:29944"	"ls:fr:ex:5236"	"122,128;"	"0"	"100"
"ls:fr:node:29945"	"ls:fr:ex:21967"	"108,112;"	"0"	"100"
"ls:fr:node:29946"	"ls:fr:ex:8796"	"218,221;"	"0"	"100"
"ls:fr:node:29948"	"ls:fr:ex:16263"	"171,179;"	"0"	"100"
"ls:fr:node:29949"	"ls:fr:ex:25706"	"189,200;"	"0"	"100"
"ls:fr:node:29950"	"ls:fr:ex:3752"	"37,42;"	"0"	"100"
"ls:fr:node:29951"	"ls:fr:ex:19539"	"131,136;"	"0"	"100"
"ls:fr:node:29952"	"ls:fr:ex:1866"	"297,303;352,358;"	"0"	"100"
"ls:fr:node:29952"	"ls:fr:ex:12549"	"101,107;"	"1"	"100"
"ls:fr:node:29953"	"ls:fr:ex:25782"	"161,167;"	"0"	"100"
"ls:fr:node:29954"	"ls:fr:ex:13348"	"109,114;"	"0"	"100"
"ls:fr:node:29955"	"ls:fr:ex:20263"	"568,573;"	"0"	"100"
"ls:fr:node:29956"	"ls:fr:ex:7370"	"164,172;"	"0"	"100"
"ls:fr:node:29957"	"ls:fr:ex:25775"	"20,27;58,65;"	"0"	"100"
"ls:fr:node:29958"	"ls:fr:ex:1048"	"319,324;"	"0"	"100"
"ls:fr:node:29959"	"ls:fr:ex:22630"	"99,110;"	"0"	"100"
"ls:fr:node:29960"	"ls:fr:ex:22629"	"88,97;"	"0"	"100"
"ls:fr:node:29961"	"ls:fr:ex:4556"	"52,56;"	"0"	"100"
"ls:fr:node:29962"	"ls:fr:ex:4050"	"82,87;"	"0"	"100"
"ls:fr:node:29964"	"ls:fr:ex:23346"	"26,30;"	"0"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3208"	"115,122;"	"0"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3211"	"195,202;"	"1"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3214"	"358,365;"	"2"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3232"	"90,97;"	"3"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3233"	"107,114;"	"4"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3237"	"71,78;"	"5"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3228"	"75,83;"	"6"	"100"
"ls:fr:node:29965"	"ls:fr:ex:3230"	"120,128;"	"7"	"100"
"ls:fr:node:29965"	"ls:fr:ex:6058"	"168,175;"	"8"	"100"
"ls:fr:node:29966"	"ls:fr:ex:22545"	"57,61;"	"0"	"100"
"ls:fr:node:29967"	"ls:fr:ex:16080"	"72,77;"	"0"	"100"
"ls:fr:node:29968"	"ls:fr:ex:12149"	"56,60;"	"0"	"100"
