"node"	"example"	"occurrence"	"position"	"%"
"ls:fr:node:26220"	"ls:fr:ex:13981"	"67,74;"	"0"	"100"
"ls:fr:node:26221"	"ls:fr:ex:6403"	"35,43;"	"0"	"100"
"ls:fr:node:26221"	"ls:fr:ex:7097"	"27,35;"	"1"	"100"
"ls:fr:node:26221"	"ls:fr:ex:7098"	"34,46;"	"2"	"100"
"ls:fr:node:26222"	"ls:fr:ex:8305"	"236,245;"	"0"	"100"
"ls:fr:node:26223"	"ls:fr:ex:22084"	"91,97;"	"0"	"100"
"ls:fr:node:26224"	"ls:fr:ex:17094"	"172,179;"	"0"	"100"
"ls:fr:node:26225"	"ls:fr:ex:3587"	"144,151;"	"0"	"100"
"ls:fr:node:26226"	"ls:fr:ex:2517"	"51,60;"	"0"	"100"
"ls:fr:node:26227"	"ls:fr:ex:22085"	"36,41;"	"0"	"100"
"ls:fr:node:26228"	"ls:fr:ex:595"	"167,170;"	"0"	"100"
"ls:fr:node:26229"	"ls:fr:ex:12051"	"29,32;"	"0"	"100"
"ls:fr:node:26230"	"ls:fr:ex:15959"	"246,251;"	"0"	"100"
"ls:fr:node:26231"	"ls:fr:ex:9873"	"91,99;"	"0"	"100"
"ls:fr:node:26232"	"ls:fr:ex:1714"	"429,435;"	"0"	"100"
"ls:fr:node:26232"	"ls:fr:ex:9228"	"173,179;"	"1"	"100"
"ls:fr:node:26233"	"ls:fr:ex:9268"	"274,281;"	"0"	"100"
"ls:fr:node:26234"	"ls:fr:ex:2276"	"58,67;"	"0"	"100"
"ls:fr:node:26235"	"ls:fr:ex:15711"	"151,158;219,226;"	"0"	"100"
"ls:fr:node:26236"	"ls:fr:ex:5361"	"118,126;"	"0"	"100"
"ls:fr:node:26237"	"ls:fr:ex:9458"	"56,64;"	"0"	"100"
"ls:fr:node:26238"	"ls:fr:ex:3166"	"239,250;"	"0"	"100"
"ls:fr:node:26239"	"ls:fr:ex:14713"	"156,158;"	"0"	"100"
"ls:fr:node:26240"	"ls:fr:ex:7501"	"80,84;"	"0"	"100"
"ls:fr:node:26241"	"ls:fr:ex:1477"	"88,92;"	"0"	"100"
"ls:fr:node:26242"	"ls:fr:ex:4343"	"194,199;"	"0"	"100"
"ls:fr:node:26243"	"ls:fr:ex:23351"	"168,176;"	"0"	"100"
"ls:fr:node:26244"	"ls:fr:ex:23357"	"66,70;187,191;"	"0"	"100"
"ls:fr:node:26245"	"ls:fr:ex:4280"	"83,87;"	"0"	"100"
"ls:fr:node:26246"	"ls:fr:ex:2343"	"138,146;"	"0"	"100"
"ls:fr:node:26246"	"ls:fr:ex:4241"	"65,73;"	"1"	"100"
"ls:fr:node:26246"	"ls:fr:ex:6807"	"122,130;"	"2"	"100"
"ls:fr:node:26246"	"ls:fr:ex:21666"	"162,170;"	"3"	"100"
"ls:fr:node:26246"	"ls:fr:ex:5039"	"312,320;"	"4"	"100"
"ls:fr:node:26246"	"ls:fr:ex:21268"	"379,387;"	"5"	"100"
"ls:fr:node:26246"	"ls:fr:ex:18110"	"40,48;"	"6"	"100"
"ls:fr:node:26246"	"ls:fr:ex:8466"	"418,426;"	"7"	"100"
"ls:fr:node:26246"	"ls:fr:ex:2527"	"134,142;"	"8"	"100"
"ls:fr:node:26247"	"ls:fr:ex:22086"	"25,33;"	"0"	"100"
"ls:fr:node:26248"	"ls:fr:ex:33"	"103,109;"	"0"	"100"
"ls:fr:node:26248"	"ls:fr:ex:11774"	"40,46;"	"1"	"100"
"ls:fr:node:26248"	"ls:fr:ex:33128"	"64,67;75,79;"	"2"	"100"
"ls:fr:node:26249"	"ls:fr:ex:43"	"132,137;"	"0"	"100"
"ls:fr:node:26250"	"ls:fr:ex:780"	"26,31;"	"0"	"100"
"ls:fr:node:26251"	"ls:fr:ex:20678"	"93,96;"	"0"	"100"
"ls:fr:node:26251"	"ls:fr:ex:34605"	"18,21;83,86;"	"1"	"100"
"ls:fr:node:26251"	"ls:fr:ex:2565"	"19,22;"	"2"	"100"
"ls:fr:node:26251"	"ls:fr:ex:34606"	"35,38;"	"3"	"100"
"ls:fr:node:26251"	"ls:fr:ex:34608"	"41,44;"	"4"	"100"
"ls:fr:node:26251"	"ls:fr:ex:4881"	"18,21;"	"5"	"100"
"ls:fr:node:26252"	"ls:fr:ex:24643"	"73,77;"	"0"	"100"
"ls:fr:node:26253"	"ls:fr:ex:3168"	"129,136;"	"0"	"100"
"ls:fr:node:26254"	"ls:fr:ex:8915"	"112,122;"	"0"	"100"
"ls:fr:node:26254"	"ls:fr:ex:32934"	"21,27;"	"1"	"100"
"ls:fr:node:26254"	"ls:fr:ex:12689"	"131,138;"	"2"	"100"
"ls:fr:node:26254"	"ls:fr:ex:472"	"106,112;"	"3"	"100"
"ls:fr:node:26255"	"ls:fr:ex:11685"	"86,93;"	"0"	"100"
"ls:fr:node:26256"	"ls:fr:ex:8284"	"83,89;"	"0"	"100"
"ls:fr:node:26257"	"ls:fr:ex:345"	"249,254;"	"0"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4732"	"84,90;119,125;"	"0"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4733"	"30,36;169,175;"	"1"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4734"	"86,93;"	"2"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4735"	"196,202;228,234;"	"3"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4736"	"63,69;"	"4"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4737"	"18,24;47,53;109,116;"	"5"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4738"	"146,152;"	"6"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4740"	"46,52;"	"7"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4741"	"56,62;308,314;352,358;"	"8"	"100"
"ls:fr:node:26258"	"ls:fr:ex:4743"	"19,25;"	"9"	"100"
