score,vrai_positif,faux_positif,précision
lexique,696,17,"0,976157082748948"
nent,85,35,"0,708333333333333"
valence,207,27,"0,884615384615385"
coor_nom,14,2,"0,875"
comp_pred,6,3,"0,666666666666667"
antecedent,13,9,"0,590909090909091"
total,1021,93,"0,916517055655296"
