score,vrai_positif,faux_positif,precision
1,532,17,"0,969034608378871"
2,77,35,"0,6875"
4,56,26,"0,682926829268293"
5,150,0,1
6,6,0,1
71,7,0,1
70,4,8,"0,333333333333333"
72,1,0,1
10,6,2,"0,75"
11,7,0,1
12,1,0,1
40,6,3,"0,666666666666667"
74,1,1,"0,5"
total,854,92,"0,902748414376321"
